Date,Price,Open,High,Low,Vol.,Change %,Sorting order
05/12/2014,76,74.2,76,74.2,0.23K,2.43%,1328
05/13/2014,76,76,76,76,,0.00%,1327
05/16/2014,76,76,76,76,,0.00%,1326
05/19/2014,76,76,76,76,,0.00%,1325
05/20/2014,76,76,76,76,,0.00%,1324
05/21/2014,76,76,76,76,,0.00%,1323
05/22/2014,76,73.5,76,73.5,0.64K,0.00%,1322
05/23/2014,77,76.6,77,76.6,0.50K,1.32%,1321
05/26/2014,76.5,76.5,76.5,76.5,0.01K,-0.65%,1320
05/27/2014,76.5,76.5,76.5,76.5,,0.00%,1319
05/28/2014,76.4,73.8,76.4,73.7,0.77K,-0.13%,1318
05/29/2014,76.4,76.4,76.4,76.4,,0.00%,1317
05/30/2014,76.3,73.7,76.3,70.1,0.26K,-0.13%,1316
06/02/2014,75.8,75.8,75.8,75.8,,-0.66%,1315
06/03/2014,75,72.7,75,72.7,1.03K,-1.06%,1314
06/04/2014,75,75,75,75,,0.00%,1313
06/05/2014,75.8,75.8,75.8,75.8,0.00K,1.07%,1312
06/06/2014,75.8,75.8,75.8,75.8,,0.00%,1311
06/09/2014,75.4,75.4,75.4,75.4,0.01K,-0.53%,1310
06/10/2014,75.4,75.4,75.4,75.4,,0.00%,1309
06/11/2014,75.4,75.4,75.4,75.4,,0.00%,1308
06/13/2014,75.4,75.4,75.4,75.4,,0.00%,1307
06/16/2014,75,73.1,75,73.1,0.10K,-0.53%,1306
06/17/2014,75.4,75.4,75.4,75.4,0.19K,0.53%,1305
06/18/2014,74.1,74.1,74.1,74.1,0.27K,-1.72%,1304
06/19/2014,74,73.8,74,73.3,1.70K,-0.13%,1303
06/20/2014,73.9,73.9,73.9,73.9,0.10K,-0.14%,1302
06/23/2014,73.2,73.2,73.2,73.2,0.10K,-0.95%,1301
06/24/2014,73.5,73.5,73.5,73.5,0.41K,0.41%,1300
06/25/2014,73.5,73.5,73.5,73.5,,0.00%,1299
06/26/2014,73.5,73.5,73.5,73.5,,0.00%,1298
06/27/2014,73.5,73.5,73.5,73.5,,0.00%,1297
06/30/2014,73.5,73.5,73.5,73.5,,0.00%,1296
07/01/2014,73.3,74,74,73.3,0.50K,-0.27%,1295
07/02/2014,75,75,76.5,74.5,6.91K,2.32%,1294
07/03/2014,80,75,82,75,19.60K,6.67%,1293
07/04/2014,80,76,80,76,0.30K,0.00%,1292
07/07/2014,79.7,79,79.7,79,3.80K,-0.38%,1291
07/08/2014,77.9,74.1,77.9,74.1,0.64K,-2.26%,1290
07/09/2014,79,74.6,79,74.6,0.55K,1.41%,1289
07/10/2014,76.6,76.6,76.6,76.6,,-3.04%,1288
07/11/2014,80,75,80,75,1.60K,4.44%,1287
07/14/2014,77.9,75.5,77.9,75.5,0.20K,-2.62%,1286
07/15/2014,77.9,77.9,77.9,77.9,,0.00%,1285
07/16/2014,77.9,77.1,77.9,77.1,0.31K,0.00%,1284
07/17/2014,77.9,77.9,77.9,77.9,,0.00%,1283
07/18/2014,78.9,78.9,78.9,78.9,0.00K,1.28%,1282
07/21/2014,80,77,80,77,1.40K,1.39%,1281
07/22/2014,79.8,78.5,79.8,78.5,0.30K,-0.25%,1280
07/23/2014,78.9,78.9,78.9,78.9,,-1.13%,1279
07/24/2014,78.9,78.9,78.9,78.9,,0.00%,1278
07/25/2014,78.9,78.9,78.9,78.9,,0.00%,1277
07/28/2014,78.9,78.9,78.9,78.9,,0.00%,1276
07/30/2014,78.9,78.9,78.9,78.9,,0.00%,1275
07/31/2014,78.9,78.9,78.9,78.9,,0.00%,1274
08/01/2014,78.9,78.9,78.9,78.9,,0.00%,1273
08/04/2014,77,77,77,76.5,0.22K,-2.41%,1272
08/05/2014,75,75.5,75.5,75,1.07K,-2.60%,1271
08/06/2014,75.2,75.2,75.2,75.2,,0.27%,1270
08/07/2014,77,73.5,77.3,73.4,1.01K,2.39%,1269
08/08/2014,77.5,73.7,77.5,73.7,0.82K,0.65%,1268
08/11/2014,77,77,77,77,,-0.65%,1267
08/12/2014,77,77,77,77,,0.00%,1266
08/13/2014,80,73.8,80,73.8,31.90K,3.90%,1265
08/14/2014,79.8,79.8,80,75.1,1.71K,-0.25%,1264
08/15/2014,78.4,78.4,78.4,78.4,,-1.75%,1263
08/18/2014,78.4,78.4,78.4,78.4,,0.00%,1262
08/19/2014,78.5,76.1,78.5,75.8,0.98K,0.13%,1261
08/20/2014,77.1,73.8,77.1,73.7,0.43K,-1.78%,1260
08/21/2014,77.1,77.1,77.1,77.1,,0.00%,1259
08/22/2014,77.1,77.1,77.1,77.1,,0.00%,1258
08/25/2014,75.4,75,75.4,75,25.70K,-2.20%,1257
08/26/2014,76,73.9,76,73.9,0.91K,0.80%,1256
08/27/2014,78,75,78,73.9,1.73K,2.63%,1255
08/28/2014,75,75.5,78,75,2.80K,-3.85%,1254
08/29/2014,75,75,78,74.9,4.96K,0.00%,1253
09/01/2014,75,74.5,75,74.4,3.62K,0.00%,1252
